date,type,category,item,amount,source,card
4/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  365 ,,
4/1/2012,הוצאה,מתנות ומזכרות,," ₪  1,148 ",,
4/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  3,830 ",,
4/1/2012,הוצאה,בית וגן,, ₪  987 ,,
4/1/2012,הוצאה,תרבות ופנאי,, ₪  204 ,,
4/1/2012,הוצאה,שירותי בנקאות,, ₪  33 ,,
4/1/2012,הוצאה,ביטוח,, ₪  -   ,,
4/1/2012,הוצאה,שונות,," ₪  2,204 ",,
4/1/2012,הוצאה,מזון ומשקאות,, ₪  139 ,,
4/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"14,780.00",,
4/1/2012,הכנסה,הפקדת שיקים,,,,
4/1/2012,הכנסה,מזומן,,0,,
4/1/2012,הכנסה,הכנסות אחרות,,0,,
4/1/2012,הכנסה,משכורת/קצבה,משכורת עינב,"4,307.00",,
4/1/2012,הכנסה,הפקדת שיקים,,"25,000.00",,
4/1/2012,הכנסה,מזומן,,0,,
4/1/2012,הכנסה,הכנסות אחרות,,449.33,,
5/1/2012,הוצאה,נופש,, ₪  770 ,,
5/1/2012,הוצאה,שיקים,, ₪  -   ,,
5/1/2012,הוצאה,רכב ותחבורה,," ₪  5,238 ",,
5/1/2012,הוצאה,מזון ומשקאות,," ₪  1,231 ",,
5/1/2012,הוצאה,בילוי ומסעדות,," ₪  2,556 ",,
5/1/2012,הוצאה,מזומן,," ₪  1,962 ",,
5/1/2012,הוצאה,חינוך ומשפחה,, ₪  295 ,,
5/1/2012,הוצאה,מיסים ותשלומים,," ₪  1,528 ",,
5/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  246 ,,
5/1/2012,הוצאה,ביגוד והנעלה,," ₪  1,283 ",,
5/1/2012,הוצאה,בריאות,," ₪  2,851 ",,
5/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  572 ,,
5/1/2012,הוצאה,מתנות ומזכרות,, ₪  874 ,,
5/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  2,916 ",,
5/1/2012,הוצאה,בית וגן,, ₪  445 ,,
5/1/2012,הוצאה,תרבות ופנאי,, ₪  200 ,,
5/1/2012,הוצאה,שירותי בנקאות,, ₪  28 ,,
5/1/2012,הוצאה,ביטוח,, ₪  -   ,,
5/1/2012,הוצאה,שונות,," ₪  2,903 ",,
5/1/2012,הוצאה,מזון ומשקאות,, ₪  197 ,,
5/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"22,577.00",,
5/1/2012,הכנסה,הפקדת שיקים,,,,
5/1/2012,הכנסה,מזומן,,0,,
5/1/2012,הכנסה,הכנסות אחרות,,3870,,
5/1/2012,הכנסה,משכורת/קצבה,משכורת עינב,"18,863.22",,
5/1/2012,הכנסה,הפקדת שיקים,,0,,
5/1/2012,הכנסה,מזומן,,0,,
5/1/2012,הכנסה,הכנסות אחרות,,0,,
6/1/2012,הוצאה,נופש,," ₪  7,447 ",,
6/1/2012,הוצאה,שיקים,," ₪  8,000 ",,
6/1/2012,הוצאה,רכב ותחבורה,," ₪  3,948 ",,
6/1/2012,הוצאה,מזון ומשקאות,," ₪  1,714 ",,
6/1/2012,הוצאה,בילוי ומסעדות,," ₪  1,962 ",,
6/1/2012,הוצאה,מזומן,," ₪  1,350 ",,
6/1/2012,הוצאה,חינוך ומשפחה,, ₪  951 ,,
6/1/2012,הוצאה,מיסים ותשלומים,, ₪  627 ,,
6/1/2012,הוצאה,יופי ואביזרי אופנה,," ₪  1,262 ",,
6/1/2012,הוצאה,ביגוד והנעלה,, ₪  702 ,,
6/1/2012,הוצאה,בריאות,," ₪  1,714 ",,
6/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  439 ,,
6/1/2012,הוצאה,מתנות ומזכרות,," ₪  4,414 ",,
6/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  2,919 ",,
6/1/2012,הוצאה,בית וגן,, ₪  675 ,,
6/1/2012,הוצאה,תרבות ופנאי,, ₪  173 ,,
6/1/2012,הוצאה,שירותי בנקאות,, ₪  31 ,,
6/1/2012,הוצאה,ביטוח,, ₪  214 ,,
6/1/2012,הוצאה,שונות,," ₪  2,205 ",,
6/1/2012,הוצאה,מזון ומשקאות,, ₪  209 ,,
6/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"14,559.00",,
6/1/2012,הכנסה,הפקדת שיקים,,,,
6/1/2012,הכנסה,מזומן,,0,,
6/1/2012,הכנסה,הכנסות אחרות,,0,,
6/1/2012,הכנסה,משכורת/קצבה,משכורת עינב,"10,675.02",,
6/1/2012,הכנסה,הפקדת שיקים,,"6,000.00",,
6/1/2012,הכנסה,מזומן,,0,,
6/1/2012,הכנסה,הכנסות אחרות,,0,,
7/1/2012,הוצאה,נופש,," ₪  3,285 ",,
7/1/2012,הוצאה,שיקים,, ₪  -   ,,
7/1/2012,הוצאה,רכב ותחבורה,," ₪  3,101 ",,
7/1/2012,הוצאה,מזון ומשקאות,," ₪  1,058 ",,
7/1/2012,הוצאה,בילוי ומסעדות,," ₪  1,936 ",,
7/1/2012,הוצאה,מזומן,," ₪  1,250 ",,
7/1/2012,הוצאה,חינוך ומשפחה,," ₪  2,776 ",,
